epoch,step,stage,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,3735,0,3.447959149857282,0.3273538901478368,46.74068502019716,0.6609718325883076,2.8500143537805065,0.3519978719338949,21.511832046797515,0.43518553731271203,1
0,7470,0,2.899900941963655,0.35865605914622023,29.18466960984795,0.5452323957849157,2.358963514038118,0.3888148875893984,13.337644312829372,0.3232398764170125,2
0,11205,0,2.624674739192927,0.38363042870929076,22.370959922919155,0.48371842593989833,1.9683805093976217,0.4744744396323749,9.163480199346127,0.29182805041303544,3
0,14940,0,2.4314061024461884,0.4115518720082374,18.53274320860954,0.44216981358139185,1.7794240661744032,0.514145429364736,7.549799243820983,0.2698041871337441,4
0,18675,0,2.2980980734908116,0.4323687214032768,16.1098210000753,0.4134606202044376,1.7278008737880524,0.530280719749278,7.094681407117773,0.25847833823822913,5
0,22410,0,2.201856223085213,0.4487447453249348,14.448422868441268,0.3928146469016804,1.7046677360636509,0.5429003979031278,7.0147533459965,0.2533063003920498,6
1,26145,1,1.744461935436793,0.526983741790841,6.194852886884602,0.292539180303917,1.7091011460231154,0.5380086939035255,6.764357274169809,0.268382215676247,6
1,29880,0,1.6953763206192918,0.5349646718962295,5.961579610797095,0.2836187001331799,1.6585316400915315,0.5495439358910824,6.529948504432579,0.2514564138633683,7
1,33615,2,1.7194229145778634,0.5327061013627513,6.054051299943455,0.28860558432363764,1.7139958023661244,0.5400441884026321,6.596849411373734,0.2682282741726874,7
1,37350,1,1.7124931007963695,0.5351069688588546,6.013648364122339,0.2873896395447113,1.6634637472695017,0.5495373436314923,6.511462769580086,0.2523570389916871,7
1,41085,0,1.696756238504479,0.5378810601963308,5.935470516041054,0.2845768338992322,1.626781876172663,0.557682935346767,6.442696809056048,0.23667625811800816,8
1,44820,0,1.6847903587883268,0.5406857891166171,5.880933169494366,0.2825705313649343,1.6244018551368553,0.5581567531347885,6.391677053798608,0.23872120178249318,9
1,48555,1,1.6832475881839444,0.5416121604524331,5.863155297843349,0.2824877255383374,1.6447078992081998,0.557920447752626,6.391109298815579,0.24271285483104457,9
2,52290,2,1.7023620475789023,0.5445152381230743,5.869542848953104,0.2889955013761921,1.6759650555391696,0.5541629588862209,6.432750161991747,0.2516055210522834,9
2,56025,3,1.7211003169784098,0.540685992329954,5.962193754661649,0.2917986460517762,1.6932793735184803,0.5493948463614953,6.421485495598224,0.2646359276616993,9
2,59760,2,1.7020357788339784,0.5447956743480077,5.851688772431793,0.2887982362829292,1.651912906759118,0.5602203327326549,6.2363199419020505,0.251197788253029,9
2,63495,1,1.679542141028803,0.5489092323671912,5.7365576597343475,0.2847323432497027,1.612262485047318,0.565934197807566,6.10195804641032,0.24401995353682115,10
2,67230,1,1.6639698715355569,0.5520505478772334,5.656030400661217,0.282059391692873,1.6098058927750243,0.5679919729226783,6.164590564480966,0.24345546683257432,11
2,70965,2,1.6638386095861026,0.5522769898264135,5.653010636596469,0.28212219318895065,1.6336218985230935,0.5655543858789913,6.156623426032016,0.2511527675797508,11
2,74700,1,1.655371193003754,0.5543219536301807,5.613353381341143,0.28067661616854955,1.6034510834220708,0.569457705245153,6.152920460308954,0.2350886246538193,12
3,78435,1,1.5986044785043356,0.5664032257728527,5.317907321559441,0.2716222420217986,1.6001566730774968,0.5716016768206591,6.166079243766306,0.23367207081980046,13
3,82170,0,1.5758541209443897,0.5709261693440161,5.262802126584842,0.26736524143972734,1.5651299841389412,0.576866547898725,6.047222711177404,0.22365858197501065,14
3,85905,1,1.5811712766028085,0.5701047855049416,5.272270774714129,0.2683708416079186,1.6009077403174385,0.5707570108183634,6.176669860238426,0.2330298106496786,14
3,89640,1,1.5812633066515,0.5700268499938859,5.263881449321513,0.2684731972263873,1.5872383087214217,0.5740712929400507,6.064119218401149,0.2306065411489646,14
3,93375,1,1.581115071693558,0.5700776625448454,5.259823050381885,0.26846108284337644,1.5945195833250914,0.5721009080918178,6.139136632903694,0.22672016714053628,14
3,97110,1,1.579715953513292,0.5705494298367757,5.244996258204783,0.26829663911739066,1.580807190851616,0.5773134339904245,6.034687073601046,0.23335019566533222,14
4,100845,1,1.5719365192390826,0.5733982236141822,5.149863057968469,0.2671590849939862,1.5800049180387996,0.5768768215029748,6.025227443010524,0.22952493369776672,14
