epoch,step,stage,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,3735,0,3.458448921341494,0.3201054506249485,53.720376062899525,0.6607206157735424,2.7405585431579778,0.3669574185016435,18.246764585552103,0.5561282998041114,1
0,7470,0,2.9198182825582575,0.35144504391076836,32.81489082124096,0.5469716758764025,2.2092050127542993,0.3988518444810365,11.283906062900593,0.3889563815692418,2
0,11205,0,2.6864072022295487,0.3682484234326856,25.23322569220134,0.4919395139554824,2.086142183441319,0.4349881036173359,10.191432005003824,0.3163485375352926,3
0,14940,1,2.5263565569118644,0.3894234938145365,21.02738755308058,0.4563708248880878,1.9275167290260553,0.4799861143197814,8.496120416556723,0.29215242969120214,4
0,18675,0,2.398022707964043,0.4082166231049528,18.266537062634217,0.4289050881373989,1.7978903011089968,0.5086150330924236,7.541996600396284,0.27875669957519267,5
0,22410,0,2.2983620826445854,0.4245489092321375,16.332797557673015,0.40782411431959903,1.7548253732178614,0.5229792283721918,7.248754923555904,0.2716492767985735,6
1,26145,0,1.7742133942176794,0.5160228822096711,6.489964034526928,0.29587835307082716,1.7701435920211943,0.5207525536438548,7.414881884326427,0.25945728003266694,6
1,29880,1,1.8018615930745456,0.5090810702043164,6.586118045401484,0.3018097252830908,1.721272632718359,0.5350455747493263,6.885944799806977,0.2645858646245612,7
1,33615,0,1.7646103274560854,0.5176678984828088,6.381511642877931,0.29539082562871916,1.685405550273114,0.5462415310583199,6.77483999588342,0.24978188865078355,8
1,37350,1,1.7544651677969394,0.5217132133823822,6.297764088818693,0.29410416703525355,1.684404566531687,0.5458882232731169,6.649799268590701,0.2534080150134714,9
1,41085,1,1.7420364779791264,0.5254358123384445,6.211610065875074,0.29225140620306894,1.6727526125609646,0.5492162008162468,6.609558336296605,0.2466244522134816,10
1,44820,0,1.727037066824586,0.5289138950076835,6.134241465993218,0.2896946369301648,1.646999131101038,0.5561063642321514,6.75850362605587,0.22911433639886672,11
1,48555,1,1.7188638013229074,0.5316992958531145,6.073842761112057,0.2885766488886412,1.6609138663400684,0.5540405549139775,6.598623763454418,0.2429063838671594,11
2,52290,1,1.660052343662663,0.5495783766748359,5.676266063563786,0.2806924863123088,1.651200896337867,0.5531552418082497,6.464312730934535,0.2409462201989146,11
2,56025,3,1.7280306686096412,0.5340555416855457,6.045007290225994,0.29269344394712554,1.7149622039791286,0.5448680776477456,6.599125760266976,0.261696718834831,11
2,59760,1,1.694028918538542,0.5416802898129942,5.8490146269235055,0.2868901459256128,1.6450138596702768,0.5563675784255944,6.465931683030216,0.24200421184664064,12
2,63495,1,1.6780755060039776,0.5459450906799872,5.76739480387414,0.28407904213226376,1.6125286567038384,0.5672920843506891,6.16184579054544,0.24466563001917263,13
2,67230,0,1.6597781211031712,0.5495894252568518,5.678152223331739,0.28096229037277004,1.5931638934337666,0.5664109304217702,6.224985786145953,0.22749040190105005,14
2,70965,0,1.6466883918330424,0.5522033178552819,5.61680790390228,0.2787177720351491,1.5644319548941494,0.5751933325355049,6.007274287108582,0.23562551847917693,15
2,74700,1,1.6433248110744092,0.5535074792161842,5.595418030429032,0.27822845345326563,1.6143213911514807,0.5656045309682582,6.1831608707529995,0.2407829771214103,15
3,78435,0,1.5617983928137877,0.5715421261732153,5.1994591291203,0.2651485726487995,1.5627901685046932,0.5760827346601233,6.039186087597757,0.22593889097921208,16
3,82170,3,1.6340902199947216,0.5569434829553194,5.532616908697011,0.27760719055918853,1.6912608862741587,0.5543704868756977,6.533550447024966,0.24830017499231502,16
3,85905,1,1.6243457610471035,0.5599138832938212,5.474262821920585,0.2759097098174154,1.5900192487385325,0.5748694182822026,6.061510953331188,0.23542035152496657,16
3,89640,0,1.610248135488644,0.5629362489673908,5.422253378587361,0.2733477796367128,1.5547457248040686,0.5794901885030139,6.01096631249445,0.22264575590693836,17
